number of users, items, ratings:  7375 105114 5
[11,   200] loss: 0.887, The best rmse/mae: 0.979503 / 0.768389
[11,   300] loss: 0.896, The best rmse/mae: 0.979503 / 0.768389
[11,   400] loss: 0.888, The best rmse/mae: 0.979503 / 0.768389
[11,   500] loss: 0.897, The best rmse/mae: 0.979503 / 0.768389
[11,   600] loss: 0.910, The best rmse/mae: 0.979503 / 0.768389
[11,   700] loss: 0.891, The best rmse/mae: 0.979503 / 0.768389
[11,   800] loss: 0.912, The best rmse/mae: 0.979503 / 0.768389
[11,   900] loss: 0.884, The best rmse/mae: 0.979503 / 0.768389
[11,  1000] loss: 0.923, The best rmse/mae: 0.979503 / 0.768389
[11,  1100] loss: 0.900, The best rmse/mae: 0.979503 / 0.768389
[11,  1200] loss: 0.928, The best rmse/mae: 0.979503 / 0.768389
[11,  1300] loss: 0.899, The best rmse/mae: 0.979503 / 0.768389
[11,  1400] loss: 0.907, The best rmse/mae: 0.979503 / 0.768389
[11,  1500] loss: 0.875, The best rmse/mae: 0.979503 / 0.768389
[11,  1600] loss: 0.917, The best rmse/mae: 0.979503 / 0.768389
[11,  1700] loss: 0.887, The best rmse/mae: 0.979503 / 0.768389
rmse: 0.9807, mae:0.7728
[12,     0] loss: 0.010, The best rmse/mae: 0.979503 / 0.768389
[12,   100] loss: 0.882, The best rmse/mae: 0.979503 / 0.768389
[12,   200] loss: 0.886, The best rmse/mae: 0.979503 / 0.768389
[12,   300] loss: 0.915, The best rmse/mae: 0.979503 / 0.768389
[12,   400] loss: 0.870, The best rmse/mae: 0.979503 / 0.768389
[12,   500] loss: 0.882, The best rmse/mae: 0.979503 / 0.768389
[12,   600] loss: 0.866, The best rmse/mae: 0.979503 / 0.768389
[12,   700] loss: 0.888, The best rmse/mae: 0.979503 / 0.768389
[12,   800] loss: 0.879, The best rmse/mae: 0.979503 / 0.768389
[12,   900] loss: 0.922, The best rmse/mae: 0.979503 / 0.768389
[12,  1000] loss: 0.891, The best rmse/mae: 0.979503 / 0.768389
[12,  1100] loss: 0.884, The best rmse/mae: 0.979503 / 0.768389
[12,  1200] loss: 0.860, The best rmse/mae: 0.979503 / 0.768389
[12,  1300] loss: 0.891, The best rmse/mae: 0.979503 / 0.768389
[12,  1400] loss: 0.891, The best rmse/mae: 0.979503 / 0.768389
[12,  1500] loss: 0.881, The best rmse/mae: 0.979503 / 0.768389
[12,  1600] loss: 0.873, The best rmse/mae: 0.979503 / 0.768389
[12,  1700] loss: 0.903, The best rmse/mae: 0.979503 / 0.768389
rmse: 0.9745, mae:0.7653
[13,     0] loss: 0.008, The best rmse/mae: 0.974504 / 0.765270
[13,   100] loss: 0.866, The best rmse/mae: 0.974504 / 0.765270
[13,   200] loss: 0.873, The best rmse/mae: 0.974504 / 0.765270
[13,   300] loss: 0.872, The best rmse/mae: 0.974504 / 0.765270
[13,   400] loss: 0.852, The best rmse/mae: 0.974504 / 0.765270
[13,   500] loss: 0.880, The best rmse/mae: 0.974504 / 0.765270
[13,   600] loss: 0.897, The best rmse/mae: 0.974504 / 0.765270
[13,   700] loss: 0.868, The best rmse/mae: 0.974504 / 0.765270
[13,   800] loss: 0.869, The best rmse/mae: 0.974504 / 0.765270
[13,   900] loss: 0.863, The best rmse/mae: 0.974504 / 0.765270
[13,  1000] loss: 0.883, The best rmse/mae: 0.974504 / 0.765270
[13,  1100] loss: 0.865, The best rmse/mae: 0.974504 / 0.765270
[13,  1200] loss: 0.871, The best rmse/mae: 0.974504 / 0.765270
[13,  1300] loss: 0.864, The best rmse/mae: 0.974504 / 0.765270
[13,  1400] loss: 0.877, The best rmse/mae: 0.974504 / 0.765270
[13,  1500] loss: 0.891, The best rmse/mae: 0.974504 / 0.765270
[13,  1600] loss: 0.881, The best rmse/mae: 0.974504 / 0.765270
[13,  1700] loss: 0.892, The best rmse/mae: 0.974504 / 0.765270
rmse: 0.9845, mae:0.7737
[14,     0] loss: 0.007, The best rmse/mae: 0.974504 / 0.765270
[14,   100] loss: 0.852, The best rmse/mae: 0.974504 / 0.765270
[14,   200] loss: 0.860, The best rmse/mae: 0.974504 / 0.765270
[14,   300] loss: 0.845, The best rmse/mae: 0.974504 / 0.765270
[14,   400] loss: 0.887, The best rmse/mae: 0.974504 / 0.765270
[14,   500] loss: 0.863, The best rmse/mae: 0.974504 / 0.765270
[14,   600] loss: 0.858, The best rmse/mae: 0.974504 / 0.765270
[14,   700] loss: 0.857, The best rmse/mae: 0.974504 / 0.765270
[14,   800] loss: 0.869, The best rmse/mae: 0.974504 / 0.765270
[14,   900] loss: 0.851, The best rmse/mae: 0.974504 / 0.765270
[14,  1000] loss: 0.847, The best rmse/mae: 0.974504 / 0.765270
[14,  1100] loss: 0.874, The best rmse/mae: 0.974504 / 0.765270
[14,  1200] loss: 0.861, The best rmse/mae: 0.974504 / 0.765270
[14,  1300] loss: 0.869, The best rmse/mae: 0.974504 / 0.765270
[14,  1400] loss: 0.860, The best rmse/mae: 0.974504 / 0.765270
[14,  1500] loss: 0.873, The best rmse/mae: 0.974504 / 0.765270
[14,  1600] loss: 0.880, The best rmse/mae: 0.974504 / 0.765270
[14,  1700] loss: 0.851, The best rmse/mae: 0.974504 / 0.765270
rmse: 0.9635, mae:0.7480
[15,     0] loss: 0.009, The best rmse/mae: 0.963498 / 0.747989
[15,   100] loss: 0.847, The best rmse/mae: 0.963498 / 0.747989
[15,   200] loss: 0.846, The best rmse/mae: 0.963498 / 0.747989
[15,   300] loss: 0.855, The best rmse/mae: 0.963498 / 0.747989
[15,   400] loss: 0.852, The best rmse/mae: 0.963498 / 0.747989
[15,   500] loss: 0.863, The best rmse/mae: 0.963498 / 0.747989
[15,   600] loss: 0.863, The best rmse/mae: 0.963498 / 0.747989
[15,   700] loss: 0.852, The best rmse/mae: 0.963498 / 0.747989
[15,   800] loss: 0.858, The best rmse/mae: 0.963498 / 0.747989
[15,   900] loss: 0.859, The best rmse/mae: 0.963498 / 0.747989
[15,  1000] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[15,  1100] loss: 0.844, The best rmse/mae: 0.963498 / 0.747989
[15,  1200] loss: 0.871, The best rmse/mae: 0.963498 / 0.747989
[15,  1300] loss: 0.862, The best rmse/mae: 0.963498 / 0.747989
[15,  1400] loss: 0.866, The best rmse/mae: 0.963498 / 0.747989
[15,  1500] loss: 0.870, The best rmse/mae: 0.963498 / 0.747989
[15,  1600] loss: 0.846, The best rmse/mae: 0.963498 / 0.747989
[15,  1700] loss: 0.819, The best rmse/mae: 0.963498 / 0.747989
rmse: 0.9816, mae:0.7837
[16,     0] loss: 0.008, The best rmse/mae: 0.963498 / 0.747989
[16,   100] loss: 0.822, The best rmse/mae: 0.963498 / 0.747989
[16,   200] loss: 0.829, The best rmse/mae: 0.963498 / 0.747989
[16,   300] loss: 0.863, The best rmse/mae: 0.963498 / 0.747989
[16,   400] loss: 0.852, The best rmse/mae: 0.963498 / 0.747989
[16,   500] loss: 0.856, The best rmse/mae: 0.963498 / 0.747989
[16,   600] loss: 0.849, The best rmse/mae: 0.963498 / 0.747989
[16,   700] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[16,   800] loss: 0.868, The best rmse/mae: 0.963498 / 0.747989
[16,   900] loss: 0.848, The best rmse/mae: 0.963498 / 0.747989
[16,  1000] loss: 0.849, The best rmse/mae: 0.963498 / 0.747989
[16,  1100] loss: 0.842, The best rmse/mae: 0.963498 / 0.747989
[16,  1200] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[16,  1300] loss: 0.846, The best rmse/mae: 0.963498 / 0.747989
[16,  1400] loss: 0.861, The best rmse/mae: 0.963498 / 0.747989
[16,  1500] loss: 0.840, The best rmse/mae: 0.963498 / 0.747989
[16,  1600] loss: 0.841, The best rmse/mae: 0.963498 / 0.747989
[16,  1700] loss: 0.832, The best rmse/mae: 0.963498 / 0.747989
rmse: 0.9780, mae:0.7758
[17,     0] loss: 0.007, The best rmse/mae: 0.963498 / 0.747989
[17,   100] loss: 0.826, The best rmse/mae: 0.963498 / 0.747989
[17,   200] loss: 0.813, The best rmse/mae: 0.963498 / 0.747989
[17,   300] loss: 0.824, The best rmse/mae: 0.963498 / 0.747989
[17,   400] loss: 0.849, The best rmse/mae: 0.963498 / 0.747989
[17,   500] loss: 0.850, The best rmse/mae: 0.963498 / 0.747989
[17,   600] loss: 0.817, The best rmse/mae: 0.963498 / 0.747989
[17,   700] loss: 0.842, The best rmse/mae: 0.963498 / 0.747989
[17,   800] loss: 0.835, The best rmse/mae: 0.963498 / 0.747989
[17,   900] loss: 0.830, The best rmse/mae: 0.963498 / 0.747989
[17,  1000] loss: 0.841, The best rmse/mae: 0.963498 / 0.747989
[17,  1100] loss: 0.837, The best rmse/mae: 0.963498 / 0.747989
[17,  1200] loss: 0.869, The best rmse/mae: 0.963498 / 0.747989
[17,  1300] loss: 0.857, The best rmse/mae: 0.963498 / 0.747989
[17,  1400] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[17,  1500] loss: 0.856, The best rmse/mae: 0.963498 / 0.747989
[17,  1600] loss: 0.844, The best rmse/mae: 0.963498 / 0.747989
[17,  1700] loss: 0.843, The best rmse/mae: 0.963498 / 0.747989
rmse: 0.9736, mae:0.7727
[18,     0] loss: 0.008, The best rmse/mae: 0.963498 / 0.747989
[18,   100] loss: 0.816, The best rmse/mae: 0.963498 / 0.747989
[18,   200] loss: 0.834, The best rmse/mae: 0.963498 / 0.747989
[18,   300] loss: 0.850, The best rmse/mae: 0.963498 / 0.747989
[18,   400] loss: 0.820, The best rmse/mae: 0.963498 / 0.747989
[18,   500] loss: 0.835, The best rmse/mae: 0.963498 / 0.747989
[18,   600] loss: 0.849, The best rmse/mae: 0.963498 / 0.747989
[18,   700] loss: 0.829, The best rmse/mae: 0.963498 / 0.747989
[18,   800] loss: 0.811, The best rmse/mae: 0.963498 / 0.747989
[18,   900] loss: 0.819, The best rmse/mae: 0.963498 / 0.747989
[18,  1000] loss: 0.856, The best rmse/mae: 0.963498 / 0.747989
[18,  1100] loss: 0.795, The best rmse/mae: 0.963498 / 0.747989
[18,  1200] loss: 0.850, The best rmse/mae: 0.963498 / 0.747989
[18,  1300] loss: 0.838, The best rmse/mae: 0.963498 / 0.747989
[18,  1400] loss: 0.824, The best rmse/mae: 0.963498 / 0.747989
[18,  1500] loss: 0.829, The best rmse/mae: 0.963498 / 0.747989
[18,  1600] loss: 0.843, The best rmse/mae: 0.963498 / 0.747989
[18,  1700] loss: 0.839, The best rmse/mae: 0.963498 / 0.747989
rmse: 0.9847, mae:0.7814
[19,     0] loss: 0.007, The best rmse/mae: 0.963498 / 0.747989
[19,   100] loss: 0.817, The best rmse/mae: 0.963498 / 0.747989
[19,   200] loss: 0.795, The best rmse/mae: 0.963498 / 0.747989
[19,   300] loss: 0.827, The best rmse/mae: 0.963498 / 0.747989
[19,   400] loss: 0.820, The best rmse/mae: 0.963498 / 0.747989
[19,   500] loss: 0.824, The best rmse/mae: 0.963498 / 0.747989
[19,   600] loss: 0.818, The best rmse/mae: 0.963498 / 0.747989
[19,   700] loss: 0.835, The best rmse/mae: 0.963498 / 0.747989
[19,   800] loss: 0.825, The best rmse/mae: 0.963498 / 0.747989
[19,   900] loss: 0.844, The best rmse/mae: 0.963498 / 0.747989
[19,  1000] loss: 0.835, The best rmse/mae: 0.963498 / 0.747989
[19,  1100] loss: 0.826, The best rmse/mae: 0.963498 / 0.747989
[19,  1200] loss: 0.829, The best rmse/mae: 0.963498 / 0.747989
[19,  1300] loss: 0.825, The best rmse/mae: 0.963498 / 0.747989
[19,  1400] loss: 0.822, The best rmse/mae: 0.963498 / 0.747989
[19,  1500] loss: 0.847, The best rmse/mae: 0.963498 / 0.747989
[19,  1600] loss: 0.833, The best rmse/mae: 0.963498 / 0.747989
[19,  1700] loss: 0.834, The best rmse/mae: 0.963498 / 0.747989
rmse: 1.0060, mae:0.8183
[20,     0] loss: 0.007, The best rmse/mae: 0.963498 / 0.747989
[20,   100] loss: 0.829, The best rmse/mae: 0.963498 / 0.747989
